customerID,User_ID,gender,Age,Region,tenure,MultipleLines,InternetService,PaymentMethod,Plan_Type,Data_Usage_GB,Call_Duration_Min,Monthly_Bill,MonthlyCharges,TotalCharges,Network_Rating,Churn
7590-VHVEG,1,Female,34,East,1,No phone service,DSL,Electronic check,Prepaid,43.39,352,518.17,29.85,29.85,4,No
5575-GNVDE,2,Male,26,South,34,No,DSL,Mailed check,Postpaid,11.17,852,1084.72,56.95,1889.5,1,No
3668-QPYBK,3,Male,50,North,2,No,DSL,Mailed check,Prepaid,18.34,1013,1449.22,53.85,108.15,3,Yes
7795-CFOCW,4,Male,37,West,45,No phone service,DSL,Bank transfer (automatic),Postpaid,3.89,118,281.89,42.3,1840.75,4,No
9237-HQITU,5,Female,30,South,2,No,Fiber optic,Electronic check,Postpaid,38.28,1202,703.62,70.7,151.65,1,Yes
9305-CDSKC,6,Female,45,East,8,Yes,Fiber optic,Electronic check,Postpaid,20.71,245,1940.48,99.65,820.5,3,Yes
1452-KIOVK,7,Male,46,West,22,Yes,Fiber optic,Credit card (automatic),Postpaid,38.08,189,598.45,89.1,1949.4,2,No
6713-OKOMC,8,Female,30,West,10,No phone service,DSL,Mailed check,Postpaid,45.23,332,694.8,29.75,301.9,2,No
7892-POOKP,9,Female,63,East,28,Yes,Fiber optic,Electronic check,Postpaid,12.02,361,1689.35,104.8,3046.05,2,Yes
6388-TABGU,10,Male,52,South,62,No,DSL,Bank transfer (automatic),Prepaid,40.47,795,195.41,56.15,3487.95,4,No
9763-GRSKD,11,Male,23,North,13,No,DSL,Mailed check,Postpaid,3.43,326,982.77,49.95,587.45,2,No
7469-LKBCI,12,Male,35,North,16,No,No,Credit card (automatic),Prepaid,44.99,110,821.27,18.95,326.8,5,No
8091-TTVAX,13,Male,22,South,58,Yes,Fiber optic,Credit card (automatic),Prepaid,32.71,1392,701.51,100.35,5681.1,1,No
0280-XJGEX,14,Male,64,West,49,Yes,Fiber optic,Bank transfer (automatic),Postpaid,43.77,101,642.83,103.7,5036.3,4,Yes
5129-JLPIS,15,Male,42,West,25,No,Fiber optic,Electronic check,Prepaid,0.51,202,273.61,105.5,2686.05,2,No
3655-SNQYZ,16,Female,19,West,69,Yes,Fiber optic,Credit card (automatic),Postpaid,8.87,1384,698.17,113.25,7895.15,1,No
8191-XWSZG,17,Female,27,West,52,No,No,Mailed check,Prepaid,19.79,593,181.8,20.65,1022.95,3,No
9959-WOFKT,18,Male,47,South,71,Yes,Fiber optic,Bank transfer (automatic),Postpaid,19.29,616,1583.83,106.7,7382.25,2,No
4190-MFLUW,19,Female,62,West,10,No,DSL,Credit card (automatic),Prepaid,11.72,1462,856.63,55.2,528.35,1,Yes
4183-MYFRB,20,Female,22,East,21,No,Fiber optic,Electronic check,Postpaid,19.39,671,943.42,90.05,1862.9,5,No
8779-QRDMV,21,Male,50,West,1,No phone service,DSL,Electronic check,Postpaid,6.88,1250,1797.83,39.65,39.65,3,Yes
1680-VDCWW,22,Male,18,North,12,No,No,Bank transfer (automatic),Postpaid,20.93,1435,1350.3,19.8,202.25,5,No
1066-JKSGK,23,Male,35,West,1,No,No,Mailed check,Postpaid,40.22,363,115.31,20.15,20.15,1,Yes
3638-WEABW,24,Female,49,South,58,Yes,DSL,Credit card (automatic),Prepaid,24.21,856,1892.03,59.9,3505.1,5,No
6322-HRPFA,25,Male,64,North,49,No,DSL,Credit card (automatic),Postpaid,1.39,897,550.57,59.6,2970.3,1,No
6865-JZNKO,26,Female,28,South,30,No,DSL,Bank transfer (automatic),Prepaid,21.36,146,304.47,55.3,1530.6,1,No
6467-CHFZW,27,Male,38,South,47,Yes,Fiber optic,Electronic check,Prepaid,1.85,930,1559.44,99.35,4749.15,5,Yes
8665-UTDHZ,28,Male,43,North,1,No phone service,DSL,Electronic check,Prepaid,48.33,1286,1050.91,30.2,30.2,1,Yes
5248-YGIJN,29,Male,42,South,72,Yes,DSL,Credit card (automatic),Postpaid,6.81,878,924.16,90.25,6369.45,2,No
8773-HHUOZ,30,Female,39,South,17,No,DSL,Mailed check,Prepaid,35.53,186,574.06,64.7,1093.1,1,Yes
3841-NFECX,31,Female,44,West,71,Yes,Fiber optic,Credit card (automatic),Prepaid,48.65,1079,1140.2,96.35,6766.95,4,No
4929-XIHVW,32,Male,30,East,2,No,Fiber optic,Credit card (automatic),Prepaid,41.39,1060,621.33,95.5,181.65,1,No
6827-IEAUQ,33,Female,50,South,27,No,DSL,Mailed check,Postpaid,35.12,158,1813.01,66.15,1874.45,4,No
7310-EGVHZ,34,Male,51,South,1,No,No,Bank transfer (automatic),Postpaid,42.05,596,508.89,20.2,20.2,1,No
3413-BMNZE,35,Male,58,South,1,No,DSL,Bank transfer (automatic),Prepaid,49.1,1112,1780.27,45.25,45.25,1,No
6234-RAAPL,36,Female,52,West,72,Yes,Fiber optic,Bank transfer (automatic),Postpaid,31.26,711,1162.87,99.9,7251.7,5,No
6047-YHPVI,37,Male,18,East,5,No,Fiber optic,Electronic check,Postpaid,28.18,474,1674.13,69.7,316.9,2,Yes
6572-ADKRS,38,Female,38,North,46,No,Fiber optic,Credit card (automatic),Prepaid,31.6,679,1454.41,74.8,3548.3,2,No
5380-WJKOV,39,Male,23,West,34,Yes,Fiber optic,Electronic check,Prepaid,26.87,310,1423.72,106.35,3549.25,3,Yes
8168-UQWWF,40,Female,45,West,11,Yes,Fiber optic,Bank transfer (automatic),Postpaid,31.94,1499,716.26,97.85,1105.4,5,Yes
8865-TNMNX,41,Male,34,East,10,No,DSL,Mailed check,Prepaid,22.77,136,544.4,49.55,475.7,5,No
9489-DEDVP,42,Female,22,East,70,Yes,DSL,Credit card (automatic),Postpaid,11.31,514,500.68,69.2,4872.35,2,No
9867-JCZSP,43,Female,48,West,17,No,No,Mailed check,Postpaid,6.45,125,1728.66,20.75,418.25,5,No
4671-VJLCL,44,Female,22,North,63,Yes,DSL,Credit card (automatic),Postpaid,3.88,520,1658.81,79.85,4861.45,2,No
